match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT05_3222611,MAD Lions KOI,G2 Esports,LEC,2023-04-21 17:01:41,MAD Lions KOI,1960,MAD Lions KOI,MAD Lions KOI,G2 Esports
ESPORTSTMNT05_3222622,MAD Lions KOI,G2 Esports,LEC,2023-04-21 20:30:50,MAD Lions KOI,1635,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT05_3222650,MAD Lions KOI,Team Vitality,LEC,2023-04-22 17:49:45,MAD Lions KOI,2233,Team Vitality,Team Vitality,MAD Lions KOI
ESPORTSTMNT05_3222670,MAD Lions KOI,Team BDS,LEC,2023-04-23 18:05:35,MAD Lions KOI,1761,Team BDS,Team BDS,Team BDS
ESPORTSTMNT05_3222671,Team BDS,MAD Lions KOI,LEC,2023-04-23 19:40:17,MAD Lions KOI,1683,MAD Lions KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT05_3223113,MAD Lions KOI,Fnatic,LEC,2023-04-15 16:08:56,MAD Lions KOI,1799,MAD Lions KOI,Fnatic,Fnatic
ESPORTSTMNT05_3223144,SK Gaming,G2 Esports,LEC,2023-04-15 19:45:49,G2 Esports,1425,G2 Esports,SK Gaming,G2 Esports
ESPORTSTMNT05_3223181,Astralis,MAD Lions KOI,LEC,2023-04-16 16:06:59,MAD Lions KOI,2277,MAD Lions KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT05_3223210,G2 Esports,KOI,LEC,2023-04-16 18:54:14,G2 Esports,1281,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT05_3223249,Team BDS,Team Vitality,LEC,2023-04-17 16:13:13,Team BDS,2192,Team BDS,Team BDS,Team Vitality
ESPORTSTMNT05_3223324,G2 Esports,MAD Lions KOI,LEC,2023-04-21 18:50:07,MAD Lions KOI,1533,G2 Esports,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT05_3223343,Team Vitality,MAD Lions KOI,LEC,2023-04-22 16:08:09,MAD Lions KOI,1666,MAD Lions KOI,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT05_3223366,Team Vitality,MAD Lions KOI,LEC,2023-04-22 16:59:41,Team Vitality,1609,Team Vitality,Team Vitality,Team Vitality
ESPORTSTMNT05_3223371,Team BDS,MAD Lions KOI,LEC,2023-04-23 16:15:04,Team BDS,2011,Team BDS,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT05_3223379,MAD Lions KOI,Team BDS,LEC,2023-04-23 17:10:35,Team BDS,1858,Team BDS,MAD Lions KOI,Team BDS
ESPORTSTMNT05_3239367,MAD Lions KOI,Excel Esports,LEC,2023-08-19 14:09:12,MAD Lions KOI,1670,Excel Esports,MAD Lions KOI,Excel Esports
ESPORTSTMNT05_3239389,Excel Esports,MAD Lions KOI,LEC,2023-08-19 16:05:49,MAD Lions KOI,1873,Excel Esports,MAD Lions KOI,Excel Esports
ESPORTSTMNT05_3239416,Team BDS,G2 Esports,LEC,2023-08-20 15:01:25,Team BDS,1588,Team BDS,Team BDS,Team BDS
ESPORTSTMNT05_3239420,G2 Esports,Team BDS,LEC,2023-08-20 15:47:46,G2 Esports,1393,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT05_3239514,SK Gaming,Team BDS,LEC,2023-08-26 18:00:34,Team BDS,2150,Team BDS,SK Gaming,Team BDS
ESPORTSTMNT05_3239535,Excel Esports,Fnatic,LEC,2023-08-27 16:58:22,Excel Esports,1529,Excel Esports,Excel Esports,Excel Esports
ESPORTSTMNT05_3239537,Excel Esports,Fnatic,LEC,2023-08-27 19:29:23,Fnatic,1891,Excel Esports,Fnatic,Fnatic
ESPORTSTMNT05_3239587,Fnatic,Team BDS,LEC,2023-09-02 19:38:47,Fnatic,1932,Fnatic,Fnatic,Team BDS
ESPORTSTMNT05_3239589,G2 Esports,MAD Lions KOI,LEC,2023-09-03 16:09:20,G2 Esports,1246,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT05_3239611,MAD Lions KOI,G2 Esports,LEC,2023-09-03 18:34:51,G2 Esports,1733,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT05_3240542,SK Gaming,Team BDS,LEC,2023-08-26 17:12:12,Team BDS,1559,SK Gaming,Team BDS,Team BDS
ESPORTSTMNT05_3240562,Fnatic,Excel Esports,LEC,2023-08-27 17:48:01,Excel Esports,1637,Excel Esports,Fnatic,Fnatic
ESPORTSTMNT05_3240604,Fnatic,Team BDS,LEC,2023-09-02 17:01:23,Fnatic,1570,Fnatic,Team BDS,Fnatic
ESPORTSTMNT05_3240610,Team BDS,Fnatic,LEC,2023-09-02 18:42:14,Team BDS,2092,Team BDS,Fnatic,Fnatic
ESPORTSTMNT05_3240638,G2 Esports,MAD Lions KOI,LEC,2023-09-03 17:40:37,G2 Esports,1897,G2 Esports,MAD Lions KOI,G2 Esports
ESPORTSTMNT05_3241417,Excel Esports,MAD Lions KOI,LEC,2023-08-19 15:02:14,MAD Lions KOI,2484,Excel Esports,MAD Lions KOI,MAD Lions KOI
ESPORTSTMNT05_3241433,G2 Esports,Team BDS,LEC,2023-08-20 14:05:10,G2 Esports,2022,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT05_3241458,Team BDS,G2 Esports,LEC,2023-08-20 16:31:59,G2 Esports,2060,Team BDS,Team BDS,G2 Esports
ESPORTSTMNT05_3241555,Team BDS,SK Gaming,LEC,2023-08-26 16:07:52,Team BDS,2521,SK Gaming,Team BDS,Team BDS
ESPORTSTMNT05_3241568,Excel Esports,Fnatic,LEC,2023-08-27 16:05:32,Fnatic,1778,Fnatic,Excel Esports,Excel Esports
ESPORTSTMNT05_3241582,Fnatic,Excel Esports,LEC,2023-08-27 18:38:17,Fnatic,1762,Fnatic,Fnatic,Excel Esports
ESPORTSTMNT05_3241617,Team BDS,Fnatic,LEC,2023-09-02 16:08:15,Team BDS,1800,Team BDS,Team BDS,Team BDS
ESPORTSTMNT05_3241631,Team BDS,Fnatic,LEC,2023-09-02 17:49:16,Fnatic,1982,Team BDS,Fnatic,Fnatic
ESPORTSTMNT05_3241650,MAD Lions KOI,G2 Esports,LEC,2023-09-03 16:52:59,MAD Lions KOI,1638,MAD Lions KOI,MAD Lions KOI,G2 Esports
ESPORTSTMNT05_3241712,MAD Lions KOI,Fnatic,LEC,2023-09-09 17:15:01,Fnatic,2175,Fnatic,Fnatic,Fnatic
ESPORTSTMNT06_2767073,Excel Esports,G2 Esports,LEC,2023-01-21 17:27:32,G2 Esports,1826,G2 Esports,Excel Esports,Excel Esports
ESPORTSTMNT06_2767108,Team Vitality,Fnatic,LEC,2023-01-21 22:25:30,Team Vitality,1982,Fnatic,Team Vitality,Fnatic
ESPORTSTMNT06_2767120,SK Gaming,Team BDS,LEC,2023-01-22 17:07:35,Team BDS,2412,Team BDS,Team BDS,Team BDS
ESPORTSTMNT06_2767145,Team Vitality,Team Heretics,LEC,2023-01-22 19:23:49,Team Vitality,1701,Team Vitality,Team Vitality,Team Heretics
ESPORTSTMNT06_2767173,Team Heretics,SK Gaming,LEC,2023-01-23 17:09:07,SK Gaming,1928,Team Heretics,Team Heretics,SK Gaming
ESPORTSTMNT06_2767214,KOI,Fnatic,LEC,2023-01-23 20:42:03,Fnatic,2072,KOI,KOI,Fnatic
ESPORTSTMNT06_2767440,MAD Lions KOI,Excel Esports,LEC,2023-01-28 21:36:16,MAD Lions KOI,1538,MAD Lions KOI,Excel Esports,MAD Lions KOI
ESPORTSTMNT06_2767464,Astralis,Team BDS,LEC,2023-01-29 17:07:47,Team BDS,1910,Astralis,Team BDS,Team BDS
ESPORTSTMNT06_2767567,G2 Esports,Team Vitality,LEC,2023-01-30 20:27:21,Team Vitality,2211,Team Vitality,Team Vitality,G2 Esports
ESPORTSTMNT06_2767939,KOI,Astralis,LEC,2023-02-06 18:15:34,KOI,1846,Astralis,Astralis,Astralis
ESPORTSTMNT06_2767959,MAD Lions KOI,G2 Esports,LEC,2023-02-06 20:07:45,MAD Lions KOI,1490,G2 Esports,G2 Esports,G2 Esports
ESPORTSTMNT06_2768092,KOI,Team BDS,LEC,2023-01-21 18:47:09,KOI,2193,KOI,KOI,Team BDS
ESPORTSTMNT06_2768101,Astralis,Team Heretics,LEC,2023-01-21 20:02:13,Team Heretics,2155,Astralis,Astralis,Astralis
ESPORTSTMNT06_2768108,MAD Lions KOI,SK Gaming,LEC,2023-01-21 21:19:28,MAD Lions KOI,1659,MAD Lions KOI,MAD Lions KOI,SK Gaming
ESPORTSTMNT06_2768209,G2 Esports,Astralis,LEC,2023-01-23 19:46:35,G2 Esports,1493,G2 Esports,Astralis,G2 Esports
ESPORTSTMNT06_2768430,Team Vitality,Astralis,LEC,2023-01-28 17:07:56,Team Vitality,1892,Astralis,Astralis,Team Vitality
ESPORTSTMNT06_2768445,Fnatic,Team BDS,LEC,2023-01-28 18:11:35,Team BDS,2288,Team BDS,Team BDS,Team BDS
ESPORTSTMNT06_2768454,Team Heretics,KOI,LEC,2023-01-28 19:20:22,Team Heretics,2673,Team Heretics,KOI,KOI
