match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstblood_team,firstdragon_team
ESPORTSTMNT02_3232282,RED Canids,paiN Gaming,CBLOL,2023-08-27 17:10:44,RED Canids,2167,paiN Gaming,RED Canids,RED Canids
ESPORTSTMNT02_3232286,RED Canids,paiN Gaming,CBLOL,2023-08-27 19:07:46,paiN Gaming,2346,RED Canids,RED Canids,RED Canids
ESPORTSTMNT02_3232866,paiN Gaming,LOUD,CBLOL,2023-09-09 16:36:30,LOUD,1900,LOUD,paiN Gaming,paiN Gaming
ESPORTSTMNT02_3233162,INTZ,RED Canids,CBLOL,2023-08-26 17:08:03,INTZ,1821,INTZ,INTZ,RED Canids
ESPORTSTMNT02_3233233,paiN Gaming,RED Canids,CBLOL,2023-08-27 18:11:32,RED Canids,1915,RED Canids,RED Canids,RED Canids
ESPORTSTMNT02_3233840,LOUD,paiN Gaming,CBLOL,2023-09-09 17:35:10,LOUD,1723,LOUD,LOUD,paiN Gaming
ESPORTSTMNT02_3233842,LOUD,paiN Gaming,CBLOL,2023-09-09 18:38:55,paiN Gaming,1931,paiN Gaming,paiN Gaming,paiN Gaming
ESPORTSTMNT02_3233843,paiN Gaming,LOUD,CBLOL,2023-09-09 19:36:21,LOUD,1421,LOUD,LOUD,LOUD
ESPORTSTMNT03_3086486,Liberty,KaBuM! Esports,CBLOL,2023-01-21 17:35:26,Liberty,2476,KaBuM! Esports,Liberty,Liberty
ESPORTSTMNT03_3086653,Los Grandes,RED Canids,CBLOL,2023-01-22 16:24:46,RED Canids,2246,RED Canids,RED Canids,RED Canids
ESPORTSTMNT03_3086700,KaBuM! Esports,LOUD,CBLOL,2023-01-22 19:46:59,LOUD,2490,KaBuM! Esports,LOUD,KaBuM! Esports
ESPORTSTMNT03_3086706,Fluxo,Liberty,CBLOL,2023-01-22 20:55:43,Liberty,2228,Liberty,Fluxo,Liberty
ESPORTSTMNT03_3087499,LOUD,paiN Gaming,CBLOL,2023-01-21 16:38:16,LOUD,1440,LOUD,LOUD,LOUD
ESPORTSTMNT03_3087532,Los Grandes,Fluxo,CBLOL,2023-01-21 18:55:07,Los Grandes,1720,Los Grandes,Los Grandes,Fluxo
ESPORTSTMNT03_3087549,RED Canids,INTZ,CBLOL,2023-01-21 19:56:12,RED Canids,1857,RED Canids,RED Canids,RED Canids
ESPORTSTMNT03_3087692,FURIA,INTZ,CBLOL,2023-01-22 17:26:46,INTZ,1992,INTZ,FURIA,INTZ
ESPORTSTMNT03_3087701,paiN Gaming,Vivo Keyd Stars,CBLOL,2023-01-22 18:36:34,paiN Gaming,2012,paiN Gaming,Vivo Keyd Stars,Vivo Keyd Stars
ESPORTSTMNT03_3088580,Vivo Keyd Stars,FURIA,CBLOL,2023-01-21 21:01:52,Vivo Keyd Stars,2673,FURIA,Vivo Keyd Stars,Vivo Keyd Stars
ESPORTSTMNT03_3092417,LOUD,Fluxo,CBLOL,2023-01-28 16:19:23,Fluxo,1949,Fluxo,Fluxo,LOUD
ESPORTSTMNT03_3092442,INTZ,KaBuM! Esports,CBLOL,2023-01-28 17:20:11,KaBuM! Esports,2768,KaBuM! Esports,KaBuM! Esports,KaBuM! Esports
ESPORTSTMNT03_3092740,Liberty,INTZ,CBLOL,2023-01-29 16:16:03,INTZ,1647,INTZ,Liberty,Liberty
ESPORTSTMNT03_3092796,RED Canids,Vivo Keyd Stars,CBLOL,2023-01-29 18:14:05,RED Canids,1771,Vivo Keyd Stars,RED Canids,Vivo Keyd Stars
ESPORTSTMNT03_3092815,LOUD,FURIA,CBLOL,2023-01-29 19:07:27,FURIA,1902,FURIA,FURIA,FURIA
ESPORTSTMNT03_3093417,FURIA,Liberty,CBLOL,2023-01-28 18:33:07,FURIA,2654,Liberty,FURIA,Liberty
ESPORTSTMNT03_3094402,paiN Gaming,RED Canids,CBLOL,2023-01-28 19:51:27,RED Canids,1814,paiN Gaming,RED Canids,RED Canids
ESPORTSTMNT03_3094421,Vivo Keyd Stars,Los Grandes,CBLOL,2023-01-28 20:50:44,Los Grandes,2311,Vivo Keyd Stars,Vivo Keyd Stars,Los Grandes
ESPORTSTMNT03_3094708,Los Grandes,paiN Gaming,CBLOL,2023-01-29 17:13:06,Los Grandes,1889,Los Grandes,Los Grandes,Los Grandes
ESPORTSTMNT03_3094757,Fluxo,KaBuM! Esports,CBLOL,2023-01-29 20:02:23,KaBuM! Esports,2109,KaBuM! Esports,Fluxo,Fluxo
