match_id,team_1,team_2,league,date,winner
ESPORTSTMNT02_3232276,paiN Gaming,RED Canids,CBLOL,2023-08-27 16:16:11,paiN Gaming
ESPORTSTMNT02_3232282,RED Canids,paiN Gaming,CBLOL,2023-08-27 17:10:44,RED Canids
ESPORTSTMNT02_3232286,RED Canids,paiN Gaming,CBLOL,2023-08-27 19:07:46,paiN Gaming
ESPORTSTMNT02_3232866,paiN Gaming,LOUD,CBLOL,2023-09-09 16:36:30,LOUD
ESPORTSTMNT02_3233162,INTZ,RED Canids,CBLOL,2023-08-26 17:08:03,INTZ
ESPORTSTMNT02_3233233,paiN Gaming,RED Canids,CBLOL,2023-08-27 18:11:32,RED Canids
ESPORTSTMNT02_3233840,LOUD,paiN Gaming,CBLOL,2023-09-09 17:35:10,LOUD
ESPORTSTMNT02_3233842,LOUD,paiN Gaming,CBLOL,2023-09-09 18:38:55,paiN Gaming
ESPORTSTMNT02_3233843,paiN Gaming,LOUD,CBLOL,2023-09-09 19:36:21,LOUD
ESPORTSTMNT03_2542608,Liberty,Flamengo Esports,CBLOL,2022-02-13 15:46:01,Liberty
ESPORTSTMNT03_2542652,KaBuM! Esports,FURIA,CBLOL,2022-02-13 16:57:03,FURIA
ESPORTSTMNT03_2542716,Miners,LOUD,CBLOL,2022-02-13 17:59:48,LOUD
ESPORTSTMNT03_2542777,RED Canids,INTZ,CBLOL,2022-02-13 19:35:55,RED Canids
ESPORTSTMNT03_2542841,Rensga eSports,paiN Gaming,CBLOL,2022-02-13 20:42:35,paiN Gaming
ESPORTSTMNT03_2562201,INTZ,Rensga eSports,CBLOL,2022-02-12 15:44:44,Rensga eSports
ESPORTSTMNT03_2562244,Flamengo Esports,RED Canids,CBLOL,2022-02-12 16:52:31,Flamengo Esports
ESPORTSTMNT03_2562289,FURIA,Liberty,CBLOL,2022-02-12 17:56:01,FURIA
ESPORTSTMNT03_2562322,LOUD,paiN Gaming,CBLOL,2022-02-12 18:58:26,LOUD
ESPORTSTMNT03_2562354,Miners,KaBuM! Esports,CBLOL,2022-02-12 20:04:54,KaBuM! Esports
ESPORTSTMNT03_2566738,FURIA,Miners,CBLOL,2022-02-19 15:44:54,Miners
ESPORTSTMNT03_2566789,paiN Gaming,RED Canids,CBLOL,2022-02-19 17:05:43,RED Canids
ESPORTSTMNT03_2566823,Flamengo Esports,KaBuM! Esports,CBLOL,2022-02-19 18:06:50,KaBuM! Esports
ESPORTSTMNT03_2566834,LOUD,Rensga eSports,CBLOL,2022-02-19 19:04:08,LOUD
ESPORTSTMNT03_2566875,INTZ,Liberty,CBLOL,2022-02-19 20:00:51,Liberty
ESPORTSTMNT03_2567303,RED Canids,Rensga eSports,CBLOL,2022-02-20 15:45:23,RED Canids
ESPORTSTMNT03_2567360,INTZ,KaBuM! Esports,CBLOL,2022-02-20 16:48:38,INTZ
ESPORTSTMNT03_2567414,Liberty,paiN Gaming,CBLOL,2022-02-20 17:49:12,Liberty
