match_id,team_1,team_2,league,date,winner,gamelength,firsttower_team,firstbaron_team
ESPORTSTMNT01_3373576,FlyQuest,100 Thieves,LCS,2023-06-15 00:51:45,100 Thieves,1831,100 Thieves,1
ESPORTSTMNT01_3374504,Immortals,Dignitas,LCS,2023-06-14 23:03:07,Immortals,1650,Immortals,0
ESPORTSTMNT01_3374524,Evil Geniuses,NRG Kia,LCS,2023-06-15 00:03:10,Evil Geniuses,1485,Evil Geniuses,0
ESPORTSTMNT01_3375039,Dignitas,Cloud9,LCS,2023-06-15 21:07:12,Cloud9,1643,Cloud9,1
ESPORTSTMNT01_3376068,FlyQuest,TSM,LCS,2023-06-15 21:58:47,TSM,2022,TSM,1
ESPORTSTMNT01_3376571,Immortals,Team Liquid,LCS,2023-06-16 21:08:06,Team Liquid,1269,Team Liquid,2
ESPORTSTMNT01_3376629,NRG Kia,100 Thieves,LCS,2023-06-16 23:52:26,NRG Kia,2074,NRG Kia,0
ESPORTSTMNT01_3376646,Cloud9,TSM,LCS,2023-06-17 00:49:29,Cloud9,1764,TSM,1
ESPORTSTMNT01_3378493,FlyQuest,Golden Guardians,LCS,2023-06-16 21:50:24,Golden Guardians,2213,Golden Guardians,0
ESPORTSTMNT01_3378516,Evil Geniuses,Dignitas,LCS,2023-06-16 22:52:38,Dignitas,2141,Dignitas,1
ESPORTSTMNT01_3401372,Evil Geniuses,TSM,LCS,2023-07-27 21:07:41,TSM,1517,TSM,1
ESPORTSTMNT01_3401413,TSM,Evil Geniuses,LCS,2023-07-27 22:43:26,Evil Geniuses,1793,Evil Geniuses,1
ESPORTSTMNT01_3401640,Team Liquid,NRG Kia,LCS,2023-07-29 00:12:40,NRG Kia,1792,NRG Kia,1
ESPORTSTMNT01_3402369,TSM,Evil Geniuses,LCS,2023-07-27 21:53:42,Evil Geniuses,1784,Evil Geniuses,1
ESPORTSTMNT01_3402561,Team Liquid,NRG Kia,LCS,2023-07-28 21:07:59,NRG Kia,2704,NRG Kia,1
ESPORTSTMNT01_3402602,Team Liquid,NRG Kia,LCS,2023-07-28 23:14:15,Team Liquid,2132,Team Liquid,0
ESPORTSTMNT01_3403374,TSM,Evil Geniuses,LCS,2023-07-27 23:39:45,TSM,1631,Evil Geniuses,0
ESPORTSTMNT01_3403380,TSM,Evil Geniuses,LCS,2023-07-28 00:28:23,Evil Geniuses,1282,Evil Geniuses,1
ESPORTSTMNT01_3403577,Team Liquid,NRG Kia,LCS,2023-07-28 22:14:31,NRG Kia,2261,Team Liquid,1
ESPORTSTMNT01_3408355,TSM,Dignitas,LCS,2023-08-03 21:57:44,TSM,2363,TSM,0
ESPORTSTMNT01_3408364,Dignitas,TSM,LCS,2023-08-03 23:12:30,Dignitas,1389,Dignitas,0
ESPORTSTMNT01_3408372,Dignitas,TSM,LCS,2023-08-04 00:09:33,TSM,2732,TSM,1
ESPORTSTMNT01_3408908,Cloud9,Evil Geniuses,LCS,2023-08-05 21:07:23,Cloud9,2405,Evil Geniuses,1
ESPORTSTMNT01_3409279,TSM,Dignitas,LCS,2023-08-03 21:07:08,Dignitas,1608,Dignitas,1
ESPORTSTMNT01_3409320,Dignitas,TSM,LCS,2023-08-04 01:14:20,Dignitas,2136,TSM,0
ESPORTSTMNT01_3409559,Team Liquid,100 Thieves,LCS,2023-08-04 21:08:23,Team Liquid,2503,100 Thieves,0
ESPORTSTMNT01_3409583,Team Liquid,100 Thieves,LCS,2023-08-04 22:12:50,100 Thieves,1648,100 Thieves,1
ESPORTSTMNT01_3409589,100 Thieves,Team Liquid,LCS,2023-08-04 23:05:55,Team Liquid,1938,Team Liquid,1
ESPORTSTMNT01_3409592,100 Thieves,Team Liquid,LCS,2023-08-04 23:59:53,Team Liquid,1925,Team Liquid,1
ESPORTSTMNT01_3409908,Evil Geniuses,Cloud9,LCS,2023-08-05 22:08:31,Cloud9,1808,Cloud9,1
